picklistId,listingId,binId,quantity,fnsku,warehouseId,tracking_id,order_id
P110821-A16F8F89F9B0,LSTHWSG4JCT2K8HHTXYCFVJIF,ST-001-004-010,-1,fnsku,4,FMPC1355035414,OD222546309687240000
P110821-A16F8F89F9B0,LSTHRCFZKH2YNAKVPP6Y69HKM,ST-001-007-004,-1,fnsku,4,FMPP0856942821,OD122547323187827000
P110821-A16F8F89F9B0,LSTHWSFXMHHYVQJEKW77C0VB0,ST-001-008-009,-1,fnsku,4,FMPP0856951005,OD222547382614383000
P110821-A16F8F89F9B0,LSTHWSFXMHHYVQJEKW77C0VB0,ST-001-008-009,-1,fnsku,4,FMPP0857137435,OD222550481031331000
P110821-A16F8F89F9B0,LSTHWSG4QFZX9ZGEDF33BL54B,ST-002-002-005,-1,fnsku,4,FMPC1355158159,OD122546800470912000
P110821-A16F8F89F9B0,LSTMSCEEFMFW3Z7FGFXOKAFTT,A119C180,-1,fnsku,4,SF83212093FLP,OD122546242622679000
P110821-A16F8F89F9B0,LSTMSCEEFMFW3Z7FGFXOKAFTT,A119C180,-1,fnsku,4,FMPP0856887062,OD122546890309722000
P110821-A16F8F89F9B0,LSTMSCEEFMFW3Z7FGFXOKAFTT,A119C180,-1,fnsku,4,FMPP0856714916,OD222545941740075000
P110821-A16F8F89F9B0,LSTMSCEEFMFW3Z7FGFXOKAFTT,A119C180,-1,fnsku,4,FMPC1355067107,OD222546337434330000
P110821-A16F8F89F9B0,LSTMSCEEFMFW3Z7FGFXOKAFTT,A119C180,-1,fnsku,4,FMPC1355198250,OD222546893352414000
P110821-A16F8F89F9B0,LSTMSCEEFMFW3Z7FGFXOKAFTT,A119C180,-1,fnsku,4,5962402479460,OD222550041249612000
P110821-A16F8F89F9B0,LSTMSCECNPQDHJDRUXT5DIGU6,A123D340,-1,fnsku,4,8872359052,OD222545751257969000
P110821-A16F8F89F9B0,LSTMSCECNPQDHJDRUXT5DIGU6,A108D150,-1,fnsku,4,FMPP0856681450,OD222545852733160000
P110821-A16F8F89F9B0,LSTFLTFTMV6MWTXZEH87REEGY,A123B360,-1,fnsku,4,FMPC1355078320,OD222546445629719000
P110821-A16F8F89F9B0,LSTFLTFTJZAUJGFUGVM8MF63R,A123B370,-1,fnsku,4,FMPC1355231595,OD122547037568763000
P110821-A16F8F89F9B0,LSTFLTFTJZAUJGFUGVM8MF63R,A109A750,-1,fnsku,4,FMPP0856766715,OD222546218680834000
P110821-A16F8F89F9B0,LSTFLTFTJZAUJGFUGVM8MF63R,A109A750,-1,fnsku,4,8872393175,OD222546415451820000
P110821-A16F8F89F9B0,LSTMENG3F2E4GGFPZDH7JKGDE,A111G650,-1,fnsku,4,8872503319,OD222550281253966000
P110821-A16F8F89F9B0,LSTHWSFQTTGGX4S59ZK5QNN3J,A118A390,-1,fnsku,4,FMPP0856778722,OD122546317892848000
P110821-A16F8F89F9B0,LSTHWSFQTTGGX4S59ZK5QNN3J,A121B120,-1,fnsku,4,FMPP0856841932,OD122546833026323000
P110821-A16F8F89F9B0,LSTHWSFQTTGGX4S59ZK5QNN3J,A123E320,-1,fnsku,4,FMPC1354988575,OD222546128803703000
P110821-A16F8F89F9B0,LSTHWSFUBKQJGAVWYSQGRHVOG,A109E140,-1,fnsku,4,FMPP0856693939,OD222545856198047000
P110821-A16F8F89F9B0,LSTMENFVY33VTF8FCCV4ZVQUS,A108G960,-1,fnsku,4,FMPC1354909468,OD222545900904634000
P110821-A16F8F89F9B0,LSTMENFVY33VTF8FCCV4ZVQUS,A109B780,-1,fnsku,4,FMPP0856996742,OD222547774853007000
P110821-A16F8F89F9B0,LSTMENFVY33VTF8FCCV4ZVQUS,A108G960,-1,fnsku,4,FMPC1355403102,OD222548020670384000
P110821-A16F8F89F9B0,LSTFLTFTJZ93NRYHKCENWAKVP,A115A290,-1,fnsku,4,FMPC1355041996,OD122546417215121000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355300263,OD122547299227929000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355309874,OD122547395836414000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355322666,OD122547440088782000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPP0856713910,OD222545939562519000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPP0856796326,OD222546509253308000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355165298,OD222546825647914000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPP0856856434,OD222546827050024000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPP0856879680,OD222546903528473000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355191988,OD222546909089022000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355222946,OD222547004153085000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355233385,OD222547104733354000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355570379,OD222550490588713000
P110821-A16F8F89F9B0,LSTMSCF4MX9CJRZNKHR9URA7R,A107G900,-1,fnsku,4,FMPC1355260573,OD122547032795082000
P110821-30F076C425C1,LSTMENGFAUF7FFW6NGWG8GQBU,ST-001-004-010,-1,fnsku,10,FMPC1354988351,OD222546166062018000
P110821-30F076C425C1,LSTFCKEC894WVURSYSWW5RKFF,ST-002-004-013,-1,fnsku,10,FMPC1355288518,OD122547277037222000
P110821-30F076C425C1,LSTFCKEC894WVURSYSWW5RKFF,ST-002-004-013,-1,fnsku,10,FMPP0856868113,OD222546685489951000
P110821-30F076C425C1,LSTALOG4P473QWW4HGY3MLFA2,ST-003-003-001,-1,fnsku,10,5931314038630,OD222546666541334000
P110821-30F076C425C1,LSTBBTFJFVPYPVHRUSYQOOQ7E,A12660,-1,fnsku,10,5962402052401,OD222546751173842000
P110821-30F076C425C1,LSTBKPFE549NEQFTPE4RAZ7TK,A27260,-1,fnsku,10,FMPC1354874331,OD122545759375651000
P110821-30F076C425C1,LSTCNREWWDRDVC7JNCGOVMBB1,A10030,-1,fnsku,10,5931313913702,OD222546692377181000
P110821-30F076C425C1,LSTBSTFGWASUJVHXYDREI6KCE,A6410,-1,fnsku,10,FMPP0856821665,OD122546475139248000
P110821-30F076C425C1,LSTFLTFTJZAUJGFUGVM8MF63R,A100,-1,fnsku,10,FMPC1355224342,OD222546973451265000
P110821-30F076C425C1,LSTFLTFSMHZCZCRUWQSKRG456,A9410,-1,fnsku,10,FMPP0856845872,OD222546818455257000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPP0856846256,OD122546755016385000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPC1355209974,OD122547011627018000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPP0856918384,OD122547151650853000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPC1355113320,OD222546574506875000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPC1355133492,OD222546661036852000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPP0856876766,OD222546922393817000
P110821-D5C584B0CB4C,LSTMSCFHCZE9PRAFRT7ZUQBME,A1610,-1,fnsku,10,FMPC1355271617,OD222547165549044000
